,Date,county Name,Distance,Time,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Avg Stride Length,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,AQI,Category
845,3/18/19,Westchester,0.48,03:12.2,178,192,6:37,3:56,1.37,00:00.0,1,0:03:08,03:12.2,41,Good
269,1/18/21,Westchester,0.53,03:22.7,184,188,6:23,4:41,1.37,03:22.7,1,0:03:22,03:22.7,19,
1003,11/24/18,Westchester,0.23,01:28.1,184,200,6:23,5:12,1.37,00:00.0,1,0:01:26,01:28.1,31,Good
323,12/8/20,Westchester,0.5,03:09.1,186,192,6:20,5:47,1.37,03:09.1,1,0:03:09,03:09.1,25,Good
595,1/14/20,Middlesex,0.53,03:21.3,186,190,6:20,5:49,1.37,00:00.0,1,0:03:21,03:21.3,32,Good
248,2/24/21,Middlesex,0.14,00:54.0,186,192,6:19,5:13,1.37,00:54.0,1,0:00:52,02:00.0,,
164,5/12/21,Westchester,0.25,01:34.7,188,198,6:15,5:13,1.37,01:34.7,1,0:01:34,01:34.7,34,
157,5/17/21,Middlesex,0.53,03:17.1,190,196,6:12,5:55,1.37,03:17.1,1,03:17.1,03:17.1,45,
211,3/29/21,Middlesex,0.53,03:13.3,192,196,6:07,5:59,1.37,03:13.3,1,0:03:13,03:13.3,,
546,9/6/20,Middlesex,0.09,00:33.8,194,200,6:02,4:42,1.37,00:33.9,1,00:33.8,00:33.8,40,Good
1079,9/17/18,Westchester,3.05,0:20:53,174,192,6:51,4:00,1.36,00:00.0,5,0:20:54,0:33:46,24,Good
867,2/25/19,Westchester,0.51,03:29.4,174,176,6:48,6:30,1.36,00:00.0,1,0:03:26,03:29.4,41,Good
906,1/27/19,Westchester,2.08,0:14:01,176,186,6:45,5:38,1.36,00:00.0,3,0:13:49,0:14:01,37,Good
1107,8/23/18,Westchester,0.45,02:59.7,176,188,6:43,5:25,1.36,00:00.0,1,0:02:58,02:59.7,28,Good
1038,10/24/18,Westchester,0.49,03:17.3,176,186,6:42,5:07,1.36,00:00.0,1,0:03:15,03:17.3,26,Good
1106,8/23/18,Westchester,0.45,03:00.3,176,186,6:42,5:53,1.36,00:00.0,1,0:03:00,03:00.3,28,Good
1014,11/19/18,Westchester,0.28,01:48.9,180,184,6:34,5:36,1.36,00:00.0,1,0:01:43,01:48.9,42,Good
239,3/14/21,Middlesex,0.5,03:13.3,184,190,6:26,4:58,1.36,03:13.3,1,0:03:13,03:13.3,,
941,12/27/18,Westchester,0.26,01:39.4,184,192,6:25,4:58,1.36,00:00.0,1,0:01:38,01:39.4,34,Good
1007,11/24/18,Westchester,0.1,00:39.9,186,190,6:22,4:56,1.36,00:00.0,1,0:00:34,00:39.9,31,Good
133,6/1/21,Middlesex,0.53,03:20.4,188,196,6:18,5:49,1.36,03:20.4,1,0:03:20,03:20.4,,
113,6/8/21,Middlesex,0.53,03:19.1,188,194,6:17,5:48,1.36,03:19.1,1,0:03:19,03:19.1,,
241,3/14/21,Middlesex,0.49,03:04.8,188,194,6:17,5:21,1.36,03:04.8,1,03:04.8,03:04.8,,
142,5/25/21,Middlesex,0.52,03:15.9,190,194,6:15,5:46,1.36,03:15.9,1,03:15.9,03:15.9,41,
130,6/1/21,Middlesex,0.52,03:14.4,190,196,6:13,5:54,1.36,03:14.4,1,0:03:14,03:14.4,,
158,5/17/21,Middlesex,0.53,03:19.1,190,196,6:13,5:57,1.36,03:19.1,1,0:03:19,03:19.1,45,
88,6/22/21,Middlesex,0.53,03:14.9,192,198,6:11,5:10,1.36,03:14.9,1,03:14.9,03:14.9,,
724,5/7/19,Westchester,0.39,02:42.2,172,176,6:57,5:40,1.35,00:00.0,1,0:02:41,04:11.3,42,Good
1040,10/23/18,Westchester,3.07,0:21:14,172,180,6:55,4:27,1.35,00:00.0,4,0:21:14,0:21:14,30,Good
1060,10/9/18,Westchester,2.98,0:20:30,174,200,6:53,3:29,1.35,00:00.0,3,0:20:20,0:20:30,20,Good
963,12/10/18,Westchester,0.38,02:36.4,174,186,6:51,6:07,1.35,00:00.0,1,0:02:30,02:36.4,33,Good
1042,10/20/18,Westchester,0.68,04:38.1,174,184,6:50,5:46,1.35,00:00.0,1,0:04:34,04:38.1,29,Good
1055,10/16/18,Westchester,0.69,04:43.9,174,182,6:50,6:11,1.35,00:00.0,1,0:04:39,04:43.9,25,Good
1141,7/14/18,Westchester,2,0:13:42,174,188,6:50,12:53,1.35,00:00.0,3,0:13:41,0:15:52,80,Moderate
1051,10/18/18,Westchester,0.45,03:04.0,176,182,6:47,6:01,1.35,00:00.0,1,0:02:58,03:04.0,30,Good
1012,11/19/18,Westchester,0.28,01:55.1,176,182,6:46,6:05,1.35,00:00.0,1,0:01:53,01:55.1,42,Good
1104,8/23/18,Westchester,0.44,02:58.0,176,184,6:46,5:44,1.35,00:00.0,1,0:02:57,02:58.0,28,Good
1013,11/19/18,Westchester,0.26,01:41.6,182,190,6:32,5:08,1.35,00:00.0,1,0:01:38,01:41.6,42,Good
578,2/21/20,Middlesex,0.53,03:25.1,186,190,6:24,5:43,1.35,00:00.0,1,0:03:25,03:25.1,38,Good
596,1/14/20,Middlesex,0.52,03:19.3,188,192,6:22,5:57,1.35,00:00.0,1,0:03:19,03:19.3,32,Good
149,5/19/21,Middlesex,0.68,04:17.7,188,192,6:21,5:48,1.35,04:17.7,1,04:17.7,04:17.7,38,
105,6/10/21,Middlesex,0.79,04:54.3,192,198,6:13,5:47,1.35,04:54.2,1,04:54.3,04:54.3,,
547,9/6/20,Middlesex,0.09,00:34.5,192,196,6:13,5:02,1.35,00:34.5,1,00:34.5,00:34.5,40,Good
862,3/11/19,Westchester,1.53,0:10:41,172,192,7:00,4:35,1.34,04:03.9,2,0:10:34,0:10:41,45,Good
1049,10/18/18,Westchester,0.45,03:06.8,174,180,6:55,6:10,1.34,00:00.0,1,0:03:05,03:06.8,30,Good
1011,11/19/18,Westchester,0.6,04:07.7,174,178,6:54,6:12,1.34,00:00.0,1,0:04:04,04:07.7,42,Good
1063,10/5/18,Westchester,3.15,0:21:42,174,208,6:53,4:13,1.34,00:00.0,4,0:20:28,0:21:42,24,Good
1036,10/24/18,Westchester,0.49,03:18.8,178,186,6:46,5:12,1.34,00:00.0,1,0:03:18,03:18.8,26,Good
296,12/24/20,Westchester,0.51,03:19.8,182,188,6:35,5:36,1.34,03:19.8,1,03:19.8,03:19.8,33,Good
112,6/8/21,Middlesex,0.52,03:18.3,188,192,6:24,5:15,1.34,03:18.3,1,03:18.3,03:18.3,,
132,6/1/21,Middlesex,0.53,03:23.3,188,194,6:24,6:04,1.34,03:23.3,1,0:03:23,03:23.3,,
223,3/24/21,Middlesex,0.52,03:20.7,188,192,6:24,6:02,1.34,03:20.7,1,0:03:20,03:20.7,,
89,6/22/21,Middlesex,0.52,03:17.9,190,200,6:20,5:20,1.34,03:17.9,1,03:17.9,03:17.9,,
176,5/4/21,Westchester,0.45,02:52.6,190,194,6:20,5:40,1.34,02:52.6,1,0:02:52,02:52.6,38,
116,6/8/21,Middlesex,0.52,03:17.7,190,196,6:19,6:04,1.34,03:17.7,1,03:17.7,03:17.7,,
549,9/6/20,Middlesex,0.09,00:32.4,194,204,6:12,4:50,1.34,00:32.4,1,0:00:32,00:32.4,40,Good
1117,8/14/18,Westchester,1.12,07:57.1,170,184,7:07,5:20,1.33,00:00.0,2,0:07:57,07:57.1,44,Good
1031,11/5/18,Westchester,2.58,0:18:02,172,190,7:00,5:46,1.33,00:00.0,3,0:18:02,0:23:27,23,Good
1050,10/18/18,Westchester,0.45,03:08.3,174,180,6:57,6:12,1.33,00:00.0,1,0:03:03,03:08.3,30,Good
833,3/25/19,Westchester,0.57,03:53.9,176,182,6:53,5:49,1.33,00:00.0,1,0:03:51,03:53.9,44,Good
1037,10/24/18,Westchester,0.49,03:23.5,176,182,6:53,5:34,1.33,00:00.0,1,0:03:21,03:23.5,26,Good
1006,11/24/18,Westchester,0.05,00:21.8,178,180,6:49,4:32,1.33,00:00.0,1,0:00:19,00:21.8,31,Good
286,12/31/20,Westchester,0.51,03:18.4,186,190,6:30,5:59,1.33,03:18.4,1,03:18.4,03:18.4,39,Good
104,6/10/21,Middlesex,0.79,04:58.2,192,198,6:18,5:02,1.33,04:58.2,1,0:04:58,04:58.2,,
548,9/6/20,Middlesex,0.09,00:34.0,192,196,6:17,4:51,1.33,00:34.0,1,0:00:34,00:34.0,40,Good
185,4/14/21,Middlesex,0.53,03:15.9,194,200,6:13,5:38,1.33,03:15.9,1,03:15.9,03:15.9,38,
1118,8/14/18,Westchester,1.12,07:57.2,170,184,7:08,5:44,1.32,00:00.0,2,0:07:57,07:57.2,44,Good
1109,8/21/18,Westchester,0.66,04:40.5,172,180,7:07,5:10,1.32,00:00.0,2,0:04:40,04:40.5,35,Good
919,1/8/19,Westchester,3,0:20:22,180,192,6:48,5:10,1.32,00:00.0,3,0:20:22,0:20:22,18,Good
247,2/24/21,Middlesex,0.14,00:53.9,184,186,6:37,5:12,1.32,00:53.9,1,00:53.9,00:53.9,,
117,6/8/21,Middlesex,0.52,03:20.6,190,196,6:25,6:07,1.32,03:20.6,1,0:03:20,03:20.8,,
212,3/29/21,Middlesex,0.53,03:21.5,192,196,6:21,5:58,1.32,03:21.5,1,0:03:21,03:21.5,,
195,4/6/21,Middlesex,0.53,03:18.1,194,202,6:17,5:42,1.32,03:18.1,1,0:03:13,03:18.1,35,
1125,8/4/18,Westchester,1.5,0:10:59,168,180,7:20,1:19,1.31,00:00.0,2,0:10:59,0:10:59,31,Good
1072,9/27/18,Westchester,3.16,0:22:53,170,184,7:14,5:41,1.31,00:00.0,4,0:22:53,0:22:53,31,Good
1088,9/12/18,Westchester,3.03,0:21:33,172,196,7:07,4:49,1.31,00:00.0,5,0:21:33,0:21:33,12,Good
861,3/12/19,Westchester,2.83,0:20:01,174,194,7:04,4:37,1.31,06:03.6,3,0:19:50,0:20:01,43,Good
