,Date,county Name,Distance,Time,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Avg Stride Length,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,AQI,Category
650,8/26/19,Middlesex,2.97,0:23:03,176,184,7:45,6:43,1.18,07:16.3,3,0:23:03,0:23:03,34,Good
695,6/1/19,Westchester,3.24,0:25:02,176,188,7:44,5:50,1.18,01:57.5,4,0:24:41,0:25:02,50,Good
618,10/15/19,Middlesex,7.44,0:57:08,178,186,7:41,7:10,1.18,03:16.5,8,0:57:07,0:57:08,28,Good
524,9/17/20,Middlesex,3.15,0:23:53,180,190,7:35,6:24,1.18,00:56.1,4,0:23:52,0:23:53,41,Good
214,3/29/21,Middlesex,0.51,03:40.9,190,194,7:09,6:53,1.18,03:40.9,1,03:40.9,03:40.9,,
1146,7/3/18,Westchester,3.01,0:24:35,170,178,8:11,6:19,1.17,00:00.0,4,0:24:36,0:24:35,87,Moderate
268,1/18/21,Westchester,0.58,04:41.6,168,190,8:10,5:23,1.17,04:41.6,1,04:41.6,08:17.2,19,
1139,7/18/18,Westchester,0.72,05:45.8,172,184,8:02,5:36,1.17,00:00.0,1,0:05:44,08:14.5,28,Good
454,10/24/20,Middlesex,0.53,04:15.6,172,176,8:01,2:30,1.17,04:15.6,1,0:04:15,04:15.6,26,Good
908,1/17/19,Westchester,2.51,0:20:00,172,184,7:58,5:56,1.17,00:00.0,3,0:19:47,0:20:00,31,Good
688,6/25/19,Westchester,3.01,0:23:53,174,184,7:57,5:56,1.17,00:01.0,4,0:23:43,0:23:53,40,Good
909,1/16/19,Westchester,0.86,06:49.1,174,180,7:55,6:26,1.17,00:00.0,1,0:06:46,06:49.1,46,Good
890,2/7/19,Westchester,3.52,0:27:45,174,190,7:53,6:40,1.17,07:47.3,4,0:27:23,0:27:45,23,Good
82,6/25/21,Middlesex,0.29,02:16.0,176,186,7:50,6:20,1.17,02:16.0,1,0:02:16,02:16.0,,
634,9/17/19,Middlesex,5.86,0:45:50,176,190,7:49,5:57,1.17,06:26.1,6,0:45:48,0:51:47,19,Good
645,9/3/19,Middlesex,4,0:31:19,176,186,7:49,6:40,1.17,00:01.6,5,0:31:18,0:31:19,37,Good
227,3/24/21,Middlesex,0.53,03:56.7,184,190,7:29,7:01,1.17,03:56.7,1,03:56.7,03:56.7,,
1092,9/6/18,Westchester,1.05,08:38.4,168,240,8:14,2:10,1.16,00:00.0,2,0:08:38,08:38.4,74,Moderate
1135,7/24/18,Westchester,3,0:24:29,170,178,8:09,1:37,1.16,00:00.0,4,0:24:29,0:24:29,22,Good
1138,7/19/18,Westchester,3.01,0:24:20,170,178,8:06,6:06,1.16,00:00.0,4,0:24:20,0:24:20,61,Moderate
685,6/28/19,Westchester,3.01,0:24:13,174,184,8:03,6:14,1.16,00:04.2,4,0:24:00,0:24:13,90,Moderate
699,5/28/19,Westchester,3.01,0:23:49,174,184,7:55,6:36,1.16,00:01.8,4,0:23:39,0:23:57,31,Good
807,4/4/19,Westchester,1.01,07:55.6,176,184,7:53,5:42,1.16,00:01.6,2,0:07:50,07:55.6,45,Good
643,9/9/19,Middlesex,4.03,0:31:30,178,198,7:49,5:44,1.16,00:09.5,5,0:31:30,0:31:30,30,Good
125,6/3/21,Middlesex,3.23,0:24:33,184,198,7:37,5:53,1.16,01:34.9,4,0:24:33,0:24:33,,
178,5/4/21,Westchester,0.5,03:45.9,186,194,7:29,6:13,1.16,03:45.9,1,03:45.9,03:45.9,38,
682,7/1/19,Westchester,3.5,0:25:41,188,202,7:20,5:14,1.16,03:41.9,4,0:25:30,0:25:41,33,Good
551,9/6/20,Middlesex,0.09,00:36.8,196,204,7:03,5:27,1.16,00:36.8,1,00:36.8,00:36.8,40,Good
828,3/26/19,Westchester,3.1,0:25:25,170,182,8:11,5:56,1.15,00:53.2,4,0:25:05,0:25:25,42,Good
690,6/23/19,Westchester,3.01,0:24:17,172,180,8:05,6:57,1.15,00:01.8,4,0:24:06,0:24:17,32,Good
704,5/21/19,Westchester,3.01,0:24:15,174,178,8:04,6:44,1.15,00:01.7,4,0:23:56,0:24:17,35,Good
312,12/12/20,Westchester,0.52,04:09.5,174,176,8:01,4:10,1.15,04:09.5,1,0:04:09,04:09.5,48,Good
344,12/1/20,Westchester,0.48,03:51.6,174,180,8:01,7:05,1.15,03:51.6,1,0:03:51,03:51.6,22,Good
799,4/8/19,Westchester,1.26,0:10:04,174,184,8:01,6:57,1.15,02:07.4,2,0:10:00,0:10:04,40,Good
689,6/24/19,Westchester,3.01,0:24:03,174,188,8:00,5:17,1.15,00:01.6,4,0:23:50,0:24:03,50,Good
753,4/23/19,Westchester,1.18,09:20.3,176,186,7:57,5:54,1.15,01:27.3,2,0:09:10,09:20.3,44,Good
698,5/29/19,Westchester,3.01,0:23:52,176,182,7:56,5:43,1.15,00:01.1,4,0:23:38,0:23:52,25,Good
646,9/2/19,Middlesex,4.11,0:32:17,178,184,7:52,7:10,1.15,00:48.1,5,0:32:16,0:32:17,29,Good
620,10/6/19,Middlesex,11.64,1:30:52,180,192,7:48,6:47,1.15,06:15.8,12,1:30:50,1:30:52,31,Good
684,6/29/19,Westchester,3.01,0:23:11,182,190,7:42,6:27,1.15,00:02.1,4,0:23:01,0:23:25,58,Moderate
649,8/28/19,Middlesex,2.79,0:21:28,182,196,7:41,6:10,1.15,05:43.6,3,0:21:28,0:21:28,32,Good
228,3/22/21,Middlesex,3.41,0:25:56,184,192,7:36,5:46,1.15,02:47.6,4,0:25:55,0:26:37,,
502,9/29/20,Middlesex,0.21,01:31.4,192,194,7:18,6:17,1.15,01:31.4,1,0:01:31,01:31.4,32,Good
1059,10/11/18,Westchester,2.35,0:19:43,168,188,8:23,4:04,1.14,00:00.0,3,0:19:43,0:19:43,16,Good
565,8/11/20,Westchester,1.54,0:12:56,168,174,8:22,7:14,1.14,04:29.2,2,0:12:55,0:12:56,47,Good
1073,9/22/18,Westchester,6.01,0:49:43,172,180,8:17,5:02,1.14,00:00.0,7,0:49:43,0:49:43,23,Good
686,6/27/19,Westchester,3.01,0:24:38,172,180,8:11,6:22,1.14,00:02.1,4,0:24:32,0:24:38,64,Moderate
907,1/26/19,Westchester,2.01,0:16:24,172,186,8:11,5:31,1.14,00:00.0,3,0:16:12,0:16:24,36,Good
679,7/4/19,Westchester,3.51,0:28:19,174,184,8:04,6:52,1.14,03:45.8,4,0:28:07,0:28:19,93,Moderate
619,10/9/19,Middlesex,2.12,0:17:03,174,182,8:03,6:55,1.14,00:58.0,3,0:17:03,0:17:03,18,Good
778,4/14/19,Westchester,2.01,0:16:06,176,184,8:02,6:50,1.14,00:01.8,3,0:16:01,0:16:06,32,Good
661,7/23/19,Westchester,4.51,0:36:04,176,186,8:00,5:55,1.14,03:55.9,5,0:36:03,0:36:04,24,Good
821,3/31/19,Westchester,3.05,0:24:22,176,180,8:00,7:32,1.14,00:23.7,4,0:24:08,0:24:22,39,Good
67,7/2/21,Westchester,3.16,0:25:02,178,186,7:56,5:26,1.14,01:13.8,4,0:25:02,0:25:02,37,
589,1/16/20,Middlesex,3.01,0:23:21,182,202,7:45,5:51,1.14,00:03.2,4,0:23:20,0:23:21,32,Good
1148,6/30/18,Westchester,3.01,0:25:40,168,174,8:33,5:53,1.13,00:00.0,4,0:25:40,0:27:31,105,Unhealthy for Sensitive Groups
1041,10/22/18,Westchester,3.4,0:28:35,170,194,8:24,5:25,1.13,00:00.0,4,0:28:35,0:28:35,19,Good
827,3/27/19,Westchester,2.01,0:16:45,170,176,8:21,6:48,1.13,00:01.9,3,0:16:33,0:16:45,41,Good
896,1/28/19,Westchester,3.44,0:28:29,172,186,8:16,6:05,1.13,00:00.0,4,0:28:10,0:29:15,34,Good
806,4/4/19,Westchester,3.5,0:28:52,172,188,8:15,3:46,1.13,04:15.9,4,0:28:36,0:28:52,45,Good
911,1/11/19,Westchester,2.65,0:21:50,172,178,8:15,6:19,1.13,00:00.0,3,0:21:40,0:21:50,35,Good
803,4/7/19,Westchester,6.01,0:49:28,174,186,8:14,5:53,1.13,00:01.3,7,0:49:03,0:49:55,50,Good
889,2/8/19,Westchester,3.8,0:31:17,174,184,8:14,6:23,1.13,08:20.5,4,0:31:04,0:31:17,33,Good
875,2/19/19,Westchester,4.03,0:33:00,174,188,8:11,6:45,1.13,08:02.0,5,0:32:39,0:33:00,38,Good
868,2/23/19,Westchester,3.01,0:24:24,176,184,8:07,7:09,1.13,07:58.5,4,0:24:15,0:24:24,36,Good
632,9/19/19,Middlesex,5.01,0:40:09,176,184,8:01,7:31,1.13,00:02.5,6,0:40:08,0:40:35,33,Good
300,12/13/20,Westchester,5.01,0:40:02,178,188,8:00,5:24,1.13,00:00.6,6,0:40:02,0:40:02,49,Good
81,6/25/21,Middlesex,1.03,08:11.4,178,186,7:59,7:16,1.13,00:11.5,2,08:11.0,08:11.4,,
370,11/22/20,Westchester,5.01,0:39:44,180,190,7:56,4:09,1.13,00:01.6,6,0:39:44,0:39:44,26,Good
678,7/5/19,Westchester,3.5,0:26:53,186,196,7:41,7:04,1.13,03:55.4,4,0:26:43,0:26:53,77,Moderate
1153,6/8/18,Westchester,6.65,0:57:28,166,172,8:39,5:17,1.12,00:00.0,7,0:57:28,0:59:50,58,Moderate
1150,6/19/18,Westchester,5.93,0:51:00,166,174,8:36,5:41,1.12,00:00.0,6,0:51:00,0:51:00,37,Good
848,3/17/19,Westchester,3.16,0:26:21,172,186,8:21,6:12,1.12,01:17.8,4,0:26:08,0:26:21,42,Good
738,4/26/19,Westchester,3.52,0:29:19,172,178,8:20,7:32,1.12,04:10.2,4,0:29:04,0:29:19,39,Good
662,7/22/19,Westchester,4.51,0:37:21,172,182,8:17,7:00,1.12,04:16.5,5,0:37:20,0:37:27,48,Good
272,1/2/21,Westchester,0.49,04:04.8,174,178,8:15,6:47,1.12,04:04.8,1,04:04.8,04:04.8,24,
700,5/27/19,Westchester,3.01,0:24:50,174,186,8:15,5:50,1.12,00:01.8,4,0:24:37,0:25:51,35,Good
604,1/12/20,Middlesex,3.1,0:25:33,174,180,8:14,7:45,1.12,00:49.9,4,0:25:32,0:25:33,33,Good
294,12/24/20,Westchester,0.56,04:35.4,176,184,8:11,7:18,1.12,04:35.4,1,04:35.4,04:35.4,33,Good
174,5/6/21,Westchester,1.06,08:36.2,178,198,8:06,2:56,1.12,00:31.2,2,08:35.9,08:36.2,35,
97,6/19/21,Middlesex,0.56,04:33.4,178,184,8:05,7:04,1.12,04:33.4,1,0:04:33,04:33.4,,
99,6/16/21,Middlesex,0.51,04:08.9,178,184,8:04,7:30,1.12,04:08.9,1,04:08.9,04:08.9,,
572,2/26/20,Middlesex,3.02,0:24:24,178,200,8:04,5:19,1.12,00:08.4,4,0:24:23,0:24:24,48,Good
581,2/19/20,Middlesex,3,0:24:13,178,204,8:04,5:07,1.12,00:01.2,4,0:24:12,0:24:13,40,Good
169,5/10/21,Westchester,3.01,0:24:02,180,180,8:00,5:25,1.12,00:02.4,4,0:24:01,0:24:02,33,
152,5/18/21,Middlesex,3.11,0:24:44,180,194,7:57,5:52,1.12,00:48.4,4,0:24:44,0:25:57,49,
586,1/30/20,Middlesex,3.01,0:23:20,186,192,7:45,7:05,1.12,00:03.2,4,0:23:19,0:23:20,34,Good
1128,7/29/18,Westchester,8.4,1:12:03,170,178,8:35,7:23,1.11,00:00.0,9,1:12:03,1:12:03,34,Good
892,2/5/19,Westchester,3.48,0:29:32,172,184,8:29,6:03,1.11,08:09.1,4,0:29:11,0:29:32,44,Good
443,10/27/20,Middlesex,0.52,04:22.7,172,174,8:24,5:13,1.11,04:22.7,1,04:22.7,04:22.7,22,Good
764,4/20/19,Westchester,4.35,0:36:32,174,186,8:24,6:40,1.11,02:50.6,5,0:36:11,0:36:32,38,Good
134,6/1/21,Middlesex,0.52,04:22.7,174,176,8:21,7:49,1.11,04:22.7,1,04:22.7,04:51.4,,
791,4/10/19,Westchester,1.25,0:10:28,174,180,8:21,7:17,1.11,02:07.3,2,0:10:19,0:10:37,35,Good
879,2/18/19,Westchester,3,0:25:01,174,182,8:21,7:00,1.11,08:05.3,3,0:24:53,0:25:01,37,Good
337,12/3/20,Westchester,0.43,03:32.7,174,180,8:20,7:06,1.11,03:32.7,1,03:32.7,03:32.7,27,Good
703,5/22/19,Westchester,3.01,0:25:01,174,184,8:19,5:37,1.11,00:01.4,4,0:24:48,0:25:01,38,Good
887,2/10/19,Westchester,3.05,0:25:14,176,186,8:16,6:39,1.11,07:56.9,4,0:24:52,0:25:14,33,Good
680,7/3/19,Westchester,3.51,0:28:43,176,186,8:12,6:31,1.11,03:38.1,4,0:28:34,0:28:43,49,Good
126,6/3/21,Middlesex,0.79,06:25.6,178,182,8:09,6:58,1.11,06:25.6,1,0:06:25,06:25.6,,
591,1/15/20,Middlesex,3.01,0:24:28,180,190,8:07,6:48,1.11,00:05.4,4,0:24:27,0:24:28,32,Good
587,1/29/20,Middlesex,2.01,0:16:16,178,206,8:06,5:18,1.11,00:02.8,3,0:16:15,0:16:16,39,Good
137,5/26/21,Middlesex,3.01,0:24:17,180,192,8:05,6:24,1.11,00:01.5,4,0:24:16,0:24:17,54,
324,12/6/20,Westchester,5.02,0:40:31,180,190,8:04,6:58,1.11,00:09.1,6,0:40:31,0:40:31,30,Good
615,10/21/19,Middlesex,6.43,0:51:23,182,192,7:59,7:04,1.11,03:42.3,7,0:51:23,0:52:56,35,Good
92,6/21/21,Middlesex,3.01,0:23:51,184,192,7:56,6:40,1.11,00:02.0,4,0:23:51,0:23:51,,
1096,8/30/18,Westchester,3.08,0:26:37,170,192,8:38,4:17,1.1,00:00.0,5,0:26:37,0:26:37,39,Good
1145,7/6/18,Westchester,3,0:25:56,168,244,8:38,5:54,1.1,00:00.0,3,0:25:56,0:26:55,29,Good
1122,8/10/18,Westchester,1.32,0:11:16,172,192,8:33,4:23,1.1,00:00.0,2,0:11:16,0:15:11,47,Good
932,1/2/19,Westchester,2.01,0:17:06,172,214,8:31,4:19,1.1,00:00.0,3,0:17:07,0:17:06,36,Good
292,12/29/20,Westchester,0.51,04:18.9,172,180,8:30,7:52,1.1,04:18.9,1,04:18.9,04:18.9,32,Good
849,3/15/19,Westchester,3.54,0:30:03,172,184,8:29,7:03,1.1,05:11.1,4,0:29:53,0:30:03,39,Good
651,8/25/19,Middlesex,2.77,0:23:25,174,194,8:26,6:42,1.1,06:17.6,3,0:23:24,0:23:25,31,Good
810,4/3/19,Westchester,1,08:27.7,174,180,8:26,7:15,1.1,00:01.5,2,0:08:19,08:27.7,51,Moderate
910,1/14/19,Westchester,2.51,0:21:11,172,178,8:26,6:40,1.1,00:00.0,3,0:21:03,0:21:11,33,Good
926,1/7/19,Westchester,2.27,0:19:09,174,184,8:26,6:50,1.1,00:00.0,3,0:19:09,0:19:09,31,Good
607,1/2/20,Westchester,1.01,08:27.5,174,178,8:25,5:20,1.1,00:02.2,2,08:27.3,08:27.5,45,Good
765,4/19/19,Westchester,2,0:16:52,174,186,8:25,5:10,1.1,00:01.5,3,0:16:39,0:16:52,38,Good
744,4/24/19,Westchester,2.94,0:24:41,174,184,8:23,6:30,1.1,07:23.2,3,0:24:24,0:24:41,37,Good
1099,8/28/18,Westchester,0.7,05:50.1,174,190,8:23,6:01,1.1,00:00.0,2,0:05:50,05:50.1,71,Moderate
681,7/2/19,Westchester,3.59,0:30:06,176,180,8:22,7:32,1.1,04:37.0,4,0:29:49,0:30:06,43,Good
599,1/13/20,Middlesex,3.01,0:24:59,176,206,8:19,5:06,1.1,00:07.6,4,0:24:53,0:25:03,22,Good
947,12/19/18,Westchester,0.84,06:57.0,176,192,8:19,4:55,1.1,00:00.0,1,0:06:54,06:57.0,34,Good
884,2/15/19,Westchester,2.75,0:22:51,176,196,8:18,6:01,1.1,08:06.8,3,0:22:38,0:23:21,36,Good
584,2/3/20,Middlesex,0.76,06:13.6,178,182,8:14,7:42,1.1,00:00.0,1,06:13.6,09:47.9,30,Good
635,9/16/19,Middlesex,5.01,0:40:23,180,190,8:04,7:09,1.1,00:02.6,6,0:40:22,0:40:23,28,Good
693,6/3/19,Westchester,3.04,0:24:23,182,188,8:02,7:20,1.1,00:16.9,4,0:24:11,0:24:23,34,Good
80,6/25/21,Middlesex,3.1,0:24:54,184,188,8:01,4:27,1.1,00:46.7,4,0:24:54,0:24:54,,
254,1/30/21,Middlesex,3.06,0:24:29,182,190,8:01,6:35,1.1,00:24.9,4,0:24:28,0:24:29,,
659,7/26/19,Westchester,4.51,0:35:50,184,196,7:57,5:05,1.1,04:05.7,5,0:35:50,0:35:50,47,Good
836,3/20/19,Westchester,0.13,00:57.2,192,192,7:36,3:35,1.1,00:00.0,1,0:00:54,00:57.2,44,Good
1124,8/6/18,Westchester,5.3,0:46:16,170,176,8:44,7:24,1.09,00:00.0,6,0:46:16,0:46:16,84,Moderate
1136,7/23/18,Westchester,3.01,0:26:16,170,176,8:44,6:39,1.09,00:00.0,4,0:26:17,0:27:48,23,Good
460,10/20/20,Middlesex,0.53,04:33.8,170,174,8:40,5:41,1.09,04:33.8,1,0:04:33,04:33.8,30,Good
705,5/16/19,Westchester,0.45,03:53.7,172,176,8:36,7:30,1.09,00:00.0,1,0:03:50,03:53.7,45,Good
870,2/21/19,Westchester,3.53,0:30:14,172,180,8:34,6:40,1.09,08:23.6,4,0:29:54,0:30:14,38,Good
677,7/6/19,Westchester,10.64,1:30:58,176,184,8:33,7:24,1.09,05:25.7,4,0:30:26,0:30:46,45,Good
780,4/11/19,Westchester,1.86,0:15:53,172,182,8:32,5:08,1.09,07:18.2,2,0:15:30,0:16:33,36,Good
886,2/11/19,Westchester,5.27,0:44:59,174,200,8:32,5:18,1.09,08:11.1,6,0:44:32,0:45:23,31,Good
398,11/14/20,Middlesex,0.52,04:24.3,174,178,8:28,7:15,1.09,04:24.3,1,0:04:24,04:24.3,28,Good
880,2/16/19,Westchester,7.81,1:05:41,174,202,8:25,6:39,1.09,07:59.6,8,1:05:13,1:05:41,37,Good
612,11/3/19,Westchester,13.15,1:50:17,176,188,8:23,4:18,1.09,00:58.2,14,1:50:17,1:50:17,27,Good
98,6/16/21,Middlesex,3.23,0:26:54,178,186,8:20,7:02,1.09,01:52.4,4,0:26:54,0:27:47,,
181,5/3/21,Westchester,3.04,0:25:20,178,194,8:20,5:37,1.09,00:13.9,4,0:25:19,0:25:20,36,
1005,11/24/18,Westchester,0.03,00:16.8,178,178,8:16,5:17,1.09,00:00.0,1,0:00:16,00:16.8,31,Good
692,6/19/19,Westchester,3,0:24:44,178,188,8:14,7:02,1.09,00:01.8,4,0:24:29,0:24:44,32,Good
574,2/24/20,Middlesex,3,0:24:38,180,194,8:12,6:42,1.09,00:01.4,4,0:24:37,0:24:38,53,Moderate
107,6/10/21,Middlesex,0.51,04:10.6,180,186,8:10,5:50,1.09,04:10.6,1,0:04:10,04:10.6,,
691,6/20/19,Westchester,3,0:24:22,182,188,8:07,6:13,1.09,00:01.9,4,0:24:00,0:24:22,24,Good
871,2/20/19,Westchester,4,0:31:55,174,180,7:59,7:48,1.09,08:18.0,4,0:31:03,0:31:20,36,Good
1074,9/21/18,Westchester,3.47,0:30:23,170,210,8:46,3:39,1.08,00:00.0,4,0:30:23,0:30:23,23,Good
808,4/3/19,Westchester,3.22,0:28:11,170,178,8:45,6:36,1.08,01:51.8,4,0:27:49,0:28:11,51,Moderate
928,1/3/19,Westchester,2.01,0:17:29,172,182,8:42,5:03,1.08,00:00.0,3,0:17:29,0:17:29,38,Good
804,4/6/19,Westchester,2.89,0:24:55,172,178,8:38,7:38,1.08,07:29.7,3,0:24:49,0:25:42,46,Good
298,12/23/20,Westchester,3,0:25:44,174,184,8:34,6:39,1.08,00:01.2,4,0:25:43,0:25:44,25,Good
694,6/2/19,Westchester,6.01,0:51:21,174,184,8:33,6:37,1.08,00:01.6,7,0:50:48,0:51:21,67,Moderate
888,2/9/19,Westchester,5.19,0:44:05,174,194,8:30,6:40,1.08,08:12.3,6,0:43:46,0:44:05,35,Good
656,7/30/19,Westchester,5.01,0:42:26,176,184,8:29,7:12,1.08,00:01.2,6,0:42:25,0:42:26,105,Unhealthy for Sensitive Groups
616,10/20/19,Middlesex,7.01,0:59:22,176,200,8:28,5:34,1.08,00:02.0,8,0:59:20,0:59:22,43,Good
255,1/29/21,Middlesex,2.47,0:20:43,178,186,8:23,6:55,1.08,03:41.8,3,0:20:42,0:20:43,,
136,5/29/21,Middlesex,3.01,0:25:07,180,188,8:22,6:39,1.08,00:01.7,4,0:25:07,0:25:39,29.7,
805,4/5/19,Westchester,1,08:19.9,180,186,8:17,7:40,1.08,00:01.8,2,0:08:13,08:19.9,37,Good
83,6/23/21,Middlesex,1.04,08:24.6,184,190,8:04,7:18,1.08,00:18.3,2,0:08:24,08:24.6,,
1093,9/5/18,Westchester,2.24,0:19:59,168,206,8:56,2:59,1.07,00:00.0,4,0:19:52,0:20:15,100,Moderate
1108,8/22/18,Westchester,5.01,0:44:29,170,178,8:53,6:22,1.07,00:00.0,9,0:44:30,0:44:42,38,Good
435,10/31/20,Middlesex,0.38,03:17.8,172,186,8:46,8:05,1.07,03:17.8,1,03:17.8,03:17.8,36,Good
937,12/31/18,Westchester,3,0:26:21,172,186,8:46,5:43,1.07,00:00.0,4,0:26:21,0:26:21,36,Good
652,8/24/19,Middlesex,3.05,0:26:39,172,182,8:45,6:50,1.07,00:26.7,4,0:26:39,0:26:39,28,Good
325,12/5/20,Westchester,0.46,04:00.7,174,178,8:41,7:35,1.07,04:00.7,1,04:00.7,04:00.7,23,Good
424,11/4/20,Middlesex,0.52,04:30.9,174,176,8:41,8:04,1.07,04:30.9,1,04:30.9,04:30.9,25,Good
676,7/8/19,Westchester,4,0:34:47,172,184,8:41,6:33,1.07,00:01.8,5,0:34:33,0:34:47,36,Good
885,2/14/19,Westchester,3.61,0:31:21,174,186,8:41,7:14,1.07,08:24.4,4,0:30:57,0:31:21,40,Good
642,9/10/19,Middlesex,4.01,0:34:42,174,180,8:40,7:35,1.07,00:02.2,5,0:34:41,0:34:42,37,Good
658,7/27/19,Westchester,3,0:26:02,174,184,8:40,7:32,1.07,00:01.2,4,0:26:02,0:26:02,84,Moderate
865,3/5/19,Westchester,3.63,0:31:29,174,184,8:40,6:30,1.07,05:41.2,4,0:31:12,0:31:29,37,Good
425,11/2/20,Middlesex,4.03,0:34:51,174,182,8:39,7:33,1.07,00:12.6,5,0:34:51,0:34:51,29,Good
287,12/31/20,Westchester,0.52,04:28.2,174,176,8:38,7:05,1.07,04:28.2,1,0:04:28,04:28.2,39,Good
749,4/23/19,Westchester,0.81,06:58.6,174,186,8:38,7:13,1.07,00:00.0,1,0:06:39,06:58.6,44,Good
667,7/16/19,Westchester,4.51,0:38:43,174,194,8:36,5:31,1.07,03:34.9,5,0:38:42,0:38:43,100,Moderate
644,9/4/19,Middlesex,4.01,0:33:54,176,184,8:28,7:17,1.07,00:01.5,5,0:33:54,0:33:54,42,Good
580,2/20/20,Middlesex,3,0:25:23,178,190,8:27,7:39,1.07,00:01.4,4,0:25:22,0:25:23,38,Good
626,9/26/19,Middlesex,6.01,0:50:15,180,188,8:22,6:52,1.07,00:01.7,7,0:50:15,0:50:15,47,Good
627,9/24/19,Middlesex,6.02,0:50:22,180,194,8:22,6:31,1.07,00:10.2,7,0:50:21,0:50:22,30,Good
702,5/23/19,Westchester,3.01,0:25:02,180,186,8:20,5:54,1.07,00:01.7,4,0:24:49,0:25:02,33,Good
189,4/11/21,Middlesex,6.49,0:53:32,182,192,8:15,6:47,1.07,03:29.8,7,0:53:31,0:53:32,31,
120,6/7/21,Middlesex,3.11,0:25:33,182,192,8:14,6:48,1.07,00:44.3,4,0:25:33,0:25:33,,
85,6/23/21,Middlesex,1,08:11.9,184,192,8:10,6:49,1.07,00:00.1,2,08:11.9,08:11.9,,
70,6/29/21,Westchester,1.01,08:13.4,186,190,8:07,7:35,1.07,00:05.4,2,08:13.4,08:13.4,90,
69,6/29/21,Westchester,1.01,08:06.2,186,194,8:04,6:31,1.07,00:01.9,2,08:05.9,08:06.2,90,
206,3/31/21,Middlesex,1.05,08:20.7,190,194,7:57,6:51,1.07,00:23.5,2,08:20.5,08:20.7,,
205,3/31/21,Middlesex,1.05,08:19.0,190,200,7:56,7:13,1.07,00:20.9,2,08:18.9,08:19.0,,
514,9/26/20,Middlesex,0.52,04:40.1,168,174,9:00,4:30,1.06,04:40.1,1,0:04:40,04:40.1,48,Good
1132,7/25/18,Westchester,5.26,0:47:00,170,178,8:56,6:16,1.06,00:00.0,6,0:47:01,0:47:00,24,Good
660,7/24/19,Westchester,4.5,0:39:55,170,178,8:52,7:38,1.06,04:19.2,5,0:39:53,0:39:55,30,Good
611,12/22/19,Westchester,3.09,0:27:14,172,200,8:48,5:23,1.06,00:32.8,4,0:27:14,0:27:14,58,Moderate
683,6/30/19,Westchester,6,0:52:46,174,184,8:47,6:41,1.06,00:01.8,7,0:52:31,0:52:46,35,Good
891,2/6/19,Westchester,3.27,0:28:44,172,190,8:47,5:15,1.06,08:18.3,4,0:28:27,0:29:01,24,Good
978,12/4/18,Westchester,3.02,0:26:23,174,192,8:45,6:02,1.06,00:00.0,4,0:26:23,0:26:23,31,Good
657,7/29/19,Westchester,5,0:43:41,174,184,8:44,7:27,1.06,00:01.5,6,0:43:40,0:43:41,100,Moderate
1100,8/28/18,Westchester,0.68,05:57.7,174,188,8:44,6:37,1.06,00:00.0,2,0:05:58,05:57.7,71,Moderate
912,1/11/19,Westchester,2.27,0:19:44,174,180,8:43,3:59,1.06,00:00.0,3,0:19:44,0:19:44,35,Good
570,2/29/20,Middlesex,3.01,0:26:02,174,186,8:39,7:25,1.06,00:04.7,4,0:26:01,0:26:02,36,Good
633,9/18/19,Middlesex,5,0:43:19,176,186,8:39,7:12,1.06,00:01.2,6,0:43:18,0:43:38,29,Good
407,11/7/20,Middlesex,0.51,04:22.1,176,182,8:38,6:56,1.06,04:22.1,1,0:04:22,04:22.1,53,Moderate
144,5/25/21,Middlesex,0.74,06:23.4,176,186,8:37,7:04,1.06,06:23.4,1,0:06:23,06:23.4,41,
571,2/27/20,Middlesex,3,0:25:54,176,190,8:37,7:27,1.06,00:01.2,4,0:25:54,0:25:54,41,Good
118,6/8/21,Middlesex,0.53,04:32.7,176,180,8:36,4:01,1.06,04:32.7,1,04:32.7,04:32.7,,
673,7/10/19,Westchester,4.01,0:34:26,176,184,8:36,7:35,1.06,00:01.6,5,0:34:07,0:34:26,74,Moderate
463,10/11/20,Middlesex,6.57,0:56:20,176,184,8:35,6:19,1.06,04:58.0,7,0:56:19,0:56:20,25,Good
613,10/28/19,Westchester,7.1,1:00:02,180,190,8:27,7:16,1.06,00:55.3,8,1:00:01,1:00:04,25,Good
622,10/2/19,Middlesex,4.54,0:37:53,182,190,8:21,6:49,1.06,04:33.2,5,0:37:53,0:39:32,28,Good
199,4/6/21,Middlesex,0.77,06:21.4,184,188,8:13,7:14,1.06,06:21.4,1,0:06:21,07:16.5,35,
1091,9/6/18,Westchester,1.11,0:10:11,166,226,9:11,2:32,1.05,00:00.0,2,0:10:11,0:10:11,74,Moderate
1131,7/26/18,Westchester,1.25,0:11:29,168,190,9:09,12:47,1.05,00:00.0,2,0:11:28,0:11:29,43,Good
792,4/9/19,Westchester,0.96,08:41.2,170,190,9:02,7:05,1.05,00:00.0,1,0:08:41,09:01.1,26,Good
503,9/29/20,Middlesex,0.48,04:20.0,170,174,9:00,8:11,1.05,04:19.9,1,04:20.0,04:20.0,32,Good
720,5/9/19,Westchester,2,0:17:53,172,178,8:56,7:35,1.05,08:55.2,2,0:17:42,0:17:53,38,Good
